Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes,Footnote
10/26/2022,01/01/2020,10/22/2022,AK,Aleutians East Borough,2013,Noncore,,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AK,Anchorage Municipality,2020,Medium metro,736,7131,
10/26/2022,01/01/2020,10/22/2022,AK,Bethel Census Area,2050,Noncore,39,323,
10/26/2022,01/01/2020,10/22/2022,AK,Denali Borough,2068,Noncore,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AK,Dillingham Census Area,2070,Noncore,,97,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AK,Fairbanks North Star Borough,2090,Small metro,187,1702,
10/26/2022,01/01/2020,10/22/2022,AK,Hoonah-Angoon Census Area,2105,Noncore,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AK,Juneau City and Borough,2110,Micropolitan,17,539,
10/26/2022,01/01/2020,10/22/2022,AK,Kenai Peninsula Borough,2122,Noncore,84,1188,
10/26/2022,01/01/2020,10/22/2022,AK,Ketchikan Gateway Borough,2130,Micropolitan,17,291,
10/26/2022,01/01/2020,10/22/2022,AK,Kodiak Island Borough,2150,Noncore,,187,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AK,Matanuska-Susitna Borough,2170,Medium metro,235,2110,
10/26/2022,01/01/2020,10/22/2022,AK,Nome Census Area,2180,Noncore,,173,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AK,North Slope Borough,2185,Noncore,,110,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AK,Northwest Arctic Borough,2188,Noncore,10,147,
10/26/2022,01/01/2020,10/22/2022,AK,Petersburg Census Area,2195,Noncore,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AK,Prince of Wales-Hyder Census Area,2198,Noncore,,127,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AK,Sitka City and Borough,2220,Noncore,10,172,
10/26/2022,01/01/2020,10/22/2022,AK,Skagway Municipality,2230,Noncore,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AK,Southeast Fairbanks Census Area,2240,Noncore,,93,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AK,Valdez-Cordova Census Area,2261,Noncore,,136,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AK,Wade Hampton Census Area,2270,Noncore,,120,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AK,Wrangell City and Borough,2275,Noncore,,58,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AK,Yukon-Koyukuk Census Area,2290,Noncore,,104,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AL,Autauga County,1001,Medium metro,186,1508,
10/26/2022,01/01/2020,10/22/2022,AL,Baldwin County,1003,Small metro,625,6871,
10/26/2022,01/01/2020,10/22/2022,AL,Barbour County,1005,Noncore,78,792,
10/26/2022,01/01/2020,10/22/2022,AL,Bibb County,1007,Large fringe metro,46,555,
10/26/2022,01/01/2020,10/22/2022,AL,Blount County,1009,Large fringe metro,100,1474,
10/26/2022,01/01/2020,10/22/2022,AL,Bullock County,1011,Noncore,,266,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AL,Butler County,1013,Noncore,80,718,
10/26/2022,01/01/2020,10/22/2022,AL,Calhoun County,1015,Small metro,624,4776,
10/26/2022,01/01/2020,10/22/2022,AL,Chambers County,1017,Micropolitan,55,985,
10/26/2022,01/01/2020,10/22/2022,AL,Cherokee County,1019,Noncore,42,773,
10/26/2022,01/01/2020,10/22/2022,AL,Chilton County,1021,Large fringe metro,72,1130,
10/26/2022,01/01/2020,10/22/2022,AL,Choctaw County,1023,Noncore,26,355,
10/26/2022,01/01/2020,10/22/2022,AL,Clarke County,1025,Noncore,36,788,
10/26/2022,01/01/2020,10/22/2022,AL,Clay County,1027,Noncore,52,529,
10/26/2022,01/01/2020,10/22/2022,AL,Cleburne County,1029,Noncore,28,410,
10/26/2022,01/01/2020,10/22/2022,AL,Coffee County,1031,Micropolitan,191,1533,
10/26/2022,01/01/2020,10/22/2022,AL,Colbert County,1033,Small metro,323,2158,
10/26/2022,01/01/2020,10/22/2022,AL,Conecuh County,1035,Noncore,39,373,
10/26/2022,01/01/2020,10/22/2022,AL,Coosa County,1037,Micropolitan,11,250,
10/26/2022,01/01/2020,10/22/2022,AL,Covington County,1039,Noncore,240,1674,
10/26/2022,01/01/2020,10/22/2022,AL,Crenshaw County,1041,Noncore,60,517,
10/26/2022,01/01/2020,10/22/2022,AL,Cullman County,1043,Micropolitan,396,3317,
10/26/2022,01/01/2020,10/22/2022,AL,Dale County,1045,Micropolitan,141,1309,
10/26/2022,01/01/2020,10/22/2022,AL,Dallas County,1047,Micropolitan,201,1455,
10/26/2022,01/01/2020,10/22/2022,AL,DeKalb County,1049,Noncore,203,2201,
10/26/2022,01/01/2020,10/22/2022,AL,Elmore County,1051,Medium metro,91,1943,
10/26/2022,01/01/2020,10/22/2022,AL,Escambia County,1053,Noncore,154,1256,
10/26/2022,01/01/2020,10/22/2022,AL,Etowah County,1055,Small metro,738,5037,
10/26/2022,01/01/2020,10/22/2022,AL,Fayette County,1057,Noncore,43,496,
10/26/2022,01/01/2020,10/22/2022,AL,Franklin County,1059,Noncore,67,927,
10/26/2022,01/01/2020,10/22/2022,AL,Geneva County,1061,Small metro,99,994,
10/26/2022,01/01/2020,10/22/2022,AL,Greene County,1063,Noncore,,221,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AL,Hale County,1065,Small metro,30,434,
10/26/2022,01/01/2020,10/22/2022,AL,Henry County,1067,Small metro,10,411,
10/26/2022,01/01/2020,10/22/2022,AL,Houston County,1069,Small metro,1033,6208,
10/26/2022,01/01/2020,10/22/2022,AL,Jackson County,1071,Micropolitan,157,1920,
10/26/2022,01/01/2020,10/22/2022,AL,Jefferson County,1073,Large central metro,3798,32046,
10/26/2022,01/01/2020,10/22/2022,AL,Lamar County,1075,Noncore,18,364,
10/26/2022,01/01/2020,10/22/2022,AL,Lauderdale County,1077,Small metro,495,4361,
10/26/2022,01/01/2020,10/22/2022,AL,Lawrence County,1079,Small metro,64,963,
10/26/2022,01/01/2020,10/22/2022,AL,Lee County,1081,Small metro,562,3939,
10/26/2022,01/01/2020,10/22/2022,AL,Limestone County,1083,Medium metro,236,2483,
10/26/2022,01/01/2020,10/22/2022,AL,Lowndes County,1085,Medium metro,14,255,
10/26/2022,01/01/2020,10/22/2022,AL,Macon County,1087,Noncore,15,425,
10/26/2022,01/01/2020,10/22/2022,AL,Madison County,1089,Medium metro,1417,13180,
10/26/2022,01/01/2020,10/22/2022,AL,Marengo County,1091,Noncore,122,780,
10/26/2022,01/01/2020,10/22/2022,AL,Marion County,1093,Noncore,119,1121,
10/26/2022,01/01/2020,10/22/2022,AL,Marshall County,1095,Micropolitan,387,3759,
10/26/2022,01/01/2020,10/22/2022,AL,Mobile County,1097,Medium metro,1942,16617,
10/26/2022,01/01/2020,10/22/2022,AL,Monroe County,1099,Noncore,65,697,
10/26/2022,01/01/2020,10/22/2022,AL,Montgomery County,1101,Medium metro,1514,9620,
10/26/2022,01/01/2020,10/22/2022,AL,Morgan County,1103,Small metro,452,4147,
10/26/2022,01/01/2020,10/22/2022,AL,Perry County,1105,Noncore,16,225,
10/26/2022,01/01/2020,10/22/2022,AL,Pickens County,1107,Small metro,37,485,
10/26/2022,01/01/2020,10/22/2022,AL,Pike County,1109,Micropolitan,109,915,
10/26/2022,01/01/2020,10/22/2022,AL,Randolph County,1111,Noncore,26,617,
10/26/2022,01/01/2020,10/22/2022,AL,Russell County,1113,Medium metro,108,1211,
10/26/2022,01/01/2020,10/22/2022,AL,St. Clair County,1115,Large fringe metro,184,2430,
10/26/2022,01/01/2020,10/22/2022,AL,Shelby County,1117,Large fringe metro,312,4205,
10/26/2022,01/01/2020,10/22/2022,AL,Sumter County,1119,Noncore,19,314,
10/26/2022,01/01/2020,10/22/2022,AL,Talladega County,1121,Micropolitan,286,2681,
10/26/2022,01/01/2020,10/22/2022,AL,Tallapoosa County,1123,Noncore,174,1666,
10/26/2022,01/01/2020,10/22/2022,AL,Tuscaloosa County,1125,Small metro,1044,7108,
10/26/2022,01/01/2020,10/22/2022,AL,Walker County,1127,Large fringe metro,353,2972,
10/26/2022,01/01/2020,10/22/2022,AL,Washington County,1129,Noncore,22,406,
10/26/2022,01/01/2020,10/22/2022,AL,Wilcox County,1131,Noncore,14,266,
10/26/2022,01/01/2020,10/22/2022,AL,Winston County,1133,Noncore,65,803,
10/26/2022,01/01/2020,10/22/2022,AR,Arkansas County,5001,Noncore,31,650,
10/26/2022,01/01/2020,10/22/2022,AR,Ashley County,5003,Noncore,26,596,
10/26/2022,01/01/2020,10/22/2022,AR,Baxter County,5005,Micropolitan,366,2825,
10/26/2022,01/01/2020,10/22/2022,AR,Benton County,5007,Medium metro,1002,6277,
10/26/2022,01/01/2020,10/22/2022,AR,Boone County,5009,Micropolitan,155,1369,
10/26/2022,01/01/2020,10/22/2022,AR,Bradley County,5011,Noncore,29,292,
10/26/2022,01/01/2020,10/22/2022,AR,Calhoun County,5013,Micropolitan,,102,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AR,Carroll County,5015,Noncore,32,655,
10/26/2022,01/01/2020,10/22/2022,AR,Chicot County,5017,Noncore,30,351,
10/26/2022,01/01/2020,10/22/2022,AR,Clark County,5019,Micropolitan,39,615,
10/26/2022,01/01/2020,10/22/2022,AR,Clay County,5021,Noncore,48,517,
10/26/2022,01/01/2020,10/22/2022,AR,Cleburne County,5023,Noncore,58,810,
10/26/2022,01/01/2020,10/22/2022,AR,Cleveland County,5025,Small metro,12,213,
10/26/2022,01/01/2020,10/22/2022,AR,Columbia County,5027,Micropolitan,91,760,
10/26/2022,01/01/2020,10/22/2022,AR,Conway County,5029,Noncore,17,531,
10/26/2022,01/01/2020,10/22/2022,AR,Craighead County,5031,Small metro,1085,6717,
10/26/2022,01/01/2020,10/22/2022,AR,Crawford County,5033,Medium metro,79,1377,
10/26/2022,01/01/2020,10/22/2022,AR,Crittenden County,5035,Large fringe metro,61,1085,
10/26/2022,01/01/2020,10/22/2022,AR,Cross County,5037,Noncore,41,509,
10/26/2022,01/01/2020,10/22/2022,AR,Dallas County,5039,Noncore,28,258,
10/26/2022,01/01/2020,10/22/2022,AR,Desha County,5041,Noncore,18,319,
10/26/2022,01/01/2020,10/22/2022,AR,Drew County,5043,Noncore,31,571,
10/26/2022,01/01/2020,10/22/2022,AR,Faulkner County,5045,Medium metro,462,3524,
10/26/2022,01/01/2020,10/22/2022,AR,Franklin County,5047,Noncore,33,502,
10/26/2022,01/01/2020,10/22/2022,AR,Fulton County,5049,Noncore,55,533,
10/26/2022,01/01/2020,10/22/2022,AR,Garland County,5051,Small metro,745,5800,
10/26/2022,01/01/2020,10/22/2022,AR,Grant County,5053,Medium metro,19,415,
10/26/2022,01/01/2020,10/22/2022,AR,Greene County,5055,Micropolitan,88,1196,
10/26/2022,01/01/2020,10/22/2022,AR,Hempstead County,5057,Noncore,41,525,
10/26/2022,01/01/2020,10/22/2022,AR,Hot Spring County,5059,Micropolitan,36,879,
10/26/2022,01/01/2020,10/22/2022,AR,Howard County,5061,Noncore,36,427,
10/26/2022,01/01/2020,10/22/2022,AR,Independence County,5063,Micropolitan,328,1850,
10/26/2022,01/01/2020,10/22/2022,AR,Izard County,5065,Noncore,31,459,
10/26/2022,01/01/2020,10/22/2022,AR,Jackson County,5067,Noncore,25,503,
10/26/2022,01/01/2020,10/22/2022,AR,Jefferson County,5069,Small metro,294,2635,
10/26/2022,01/01/2020,10/22/2022,AR,Johnson County,5071,Noncore,53,654,
10/26/2022,01/01/2020,10/22/2022,AR,Lafayette County,5073,Noncore,,162,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/26/2022,01/01/2020,10/22/2022,AR,Lawrence County,5075,Noncore,30,397,
10/26/2022,01/01/2020,10/22/2022,AR,Lee County,5077,Noncore,16,235,
10/26/2022,01/01/2020,10/22/2022,AR,Lincoln County,5079,Small metro,17,266,
10/26/2022,01/01/2020,10/22/2022,AR,Little River County,5081,Small metro,48,402,
